index,song,artist,id
513,Set Fire To The Rain,Adele,5bRSrOafTcsqIjMzs7sak0
516,Turning Tables,Adele,MISSING
517,Water Under The Bridge,Adele,MISSING
518,When We Were Young,Adele,MISSING
521,[Freak] And U Know It,Adina Howard,MISSING
522,Oh Daddy,Adrian Belew,MISSING
571,Daechwita,Agust D,MISSING
587,So Hard Livin' Without You,Airwaves,MISSING
588,Angel,Akon,6J5U2x0xdje9RLGSZpEDrK
594,"Sorry, Blame It On Me",Akon,MISSING
612,Bonanza,Al Caiola And His Orchestra,MISSING
614,Surfin' Hootenanny,Al Casey,MISSING
615,Cookin',Al Casey Combo,6cDEYCFPsFLRqDjzRnjn2U
616,Jivin' Around,Al Casey Combo,MISSING
623,Guilty,Al Green,7LKL2wR36x2TfW2y5nZIFB
653,Forgive Me,Al Martino,MISSING
654,Here In My Heart,Al Martino,0mRAY4VhmgEsBvLEFxB6Vm
655,I Can't Get You Out Of My Heart,Al Martino,MISSING
676,Think I'll Go Somewhere And Cry Myself To Sleep,Al Martino,5bv8JsR9b0FVNu1dI8aflY
678,Volare,Al Martino,4M6JR2xz4PJggfI7HDPyd2
681,Midnight Rocks,Al Stewart,MISSING
690,Poor Side Of Town,Al Wilson,MISSING
691,Show And Tell,Al Wilson,2vhW1OmaZDYi63Da9d8R5o
692,The Snake,Al Wilson,0uGElV71YUd95hj4MElk0m
704,Hold On,Alabama Shakes,MISSING
705,A Woman's Love,Alan Jackson,MISSING
712,Like Red On A Rose,Alan Jackson,MISSING
731,Undercover Angel,Alan O'Day,5LIch7R7lghgss7Atmvnjk
744,99 Miles From L.a.,Albert Hammond,2kQ2qfJhhAFohiaTdaRMnj
753,Breaking Up Somebody's Home,Albert King,7txSZmb5aynEyVvlWNuxRk
754,Cold Feet,Albert King,48bFH7et27EybvLEN5h0en
758,A La Primera Persona,Alejandro Sanz,3ijypgrX5od1wFDOihARrO
759,Put Away Your Love,Alessi,MISSING
761,Here,Alessia Cara,664gdARxaClFsoF5SXKOws
763,Scars To Your Beautiful,Alessia Cara,42ydLwx4i5V49RXHOozJZq
764,Wild Things,Alessia Cara,MISSING
780,Perfect World,Alias,MISSING
803,Better Off Alone,Alice Deejay,MISSING
805,No Roots,Alice Merton,MISSING
807,Body Heat,Alicia Bridges,MISSING
808,I Love The Nightlife (Disco 'round),Alicia Bridges,MISSING
831,Bounce Back,Alisha,MISSING
832,Into My Secret,Alisha,MISSING
844,What's Going On,All Star Tribute,MISSING
855,"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",Allan Sherman,MISSING
861,New Morning,Alpha Rev,MISSING
862,Speed,Alpha Team,6LvzttDtScY9etzkB6LQNX
866,Bad Day,Alvin And The Chipmunks,MISSING
867,Funkytown,Alvin And The Chipmunks,MISSING
872,Twine Time,Alvin Cash & The Crawlers,1Oz66Cs9PhuILvrI4Pw6xy
874,The Philly Freeze,Alvin Cash & The Registers,MISSING
875,Something You Got,Alvin Robinson,MISSING
876,Chemicals React,Aly & AJ,7vOjTY220BqIttYDbwshED
882,Stars,Amanda Brown,MISSING
890,Colour Of Love,Amber,MISSING
891,One More Night,Amber,MISSING
892,Sexual (Li Da Di),Amber,1HwqDoiKaBUJH6Fe1VDUF9
893,This Is Your Night,Amber,MISSING
894,Sad,Amber Carrington,MISSING
903,Get Up,Amel Larrieux,5YzK2kmIM7cdpRbv0iGaEs
922,Let Me Down Easy,American Flyer,MISSING
930,Knock On Wood,Amii Stewart,2qxrGDWh1qXWXJ1DbbxAEu
948,Got To Tell Me Something,Ana,MISSING
949,Shy Boys,Ana,MISSING
953,Like Young,Andre Previn With David Rose,MISSING
954,Pearl Time,Andre Williams,MISSING
956,It Hurts To Be Sixteen,Andrea Carroll,MISSING
971,Mishale,Andru Donalds,MISSING
973,Spider Jiving,Andy Fairweather Low,MISSING
980,Me (Without You),Andy Gibb,MISSING
982,Time Is Time,Andy Gibb,MISSING
1004,Rainbow Ride,Andy Kim,MISSING
1005,Rock Me Gently,Andy Kim,MISSING
1008,Avenging Annie,Andy Pratt,MISSING
1009,Just Young,Andy Rose,4IToGzGT3zcJWQN2c5J9cV
1010,A Scottish Soldier (Green Hills of Tyrol),Andy Stewart,MISSING
1044,Tell It Like It Is,Andy Williams,MISSING
1046,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,2ULa19MTmtGxdnKxk8zkbI
1048,The Wonderful World Of The Young,Andy Williams,MISSING
1056,Love Me Right (Oh Sheila),Angel City Featuring Lara McAllen,MISSING
1074,Joey Baby,Anita & Th' So-And-So's,MISSING
1082,Soul Inspiration,Anita Baker,MISSING
1084,Talk To Me,Anita Baker,MISSING
1086,A Texan And A Girl From Mexico,Anita Bryant,MISSING
1087,Do-Re-Mi,Anita Bryant,MISSING
1088,I Can't Do It By Myself,Anita Bryant,MISSING
1089,In My Little Corner Of The World,Anita Bryant,MISSING
1090,One Of The Lucky Ones,Anita Bryant,7zOj5mmXTAQ7XHwqEloPrx
1091,Paper Roses,Anita Bryant,MISSING
1092,Promise Me A Rose (A Slight Detail),Anita Bryant,MISSING
1093,Six Boys And Seven Girls,Anita Bryant,MISSING
1094,The World Of Lonely People,Anita Bryant,5HxEqNBzlpxOoJMZ9y0YB5
1095,Till There Was You,Anita Bryant,5mbwpar6qYhWv1MyIayqAO
1096,Wonderland By Night,Anita Bryant,2YtMmdSvkgmPzocfj53Hlw
1097,What If I Said,Anita Cochran (Duet With Steve Wariner),MISSING
1120,Cotton Jenny,Anne Murray,MISSING
1123,Day Tripper,Anne Murray,MISSING
1127,It's All I Can Do,Anne Murray,MISSING
1137,Talk It Over In The Morning,Anne Murray,MISSING
1138,The Call,Anne Murray,7ktVEpWWC7MKlVXCcxHKx3
1139,Things,Anne Murray,MISSING
1140,What About Me,Anne Murray,7IVXa7MFoIvJU4BIccNdVS
1143,Jo-Jo The Dog-Faced Boy,Annette,4kQD2IxOyaMOOhQQxIKWbG
1144,Lonely Guitar,Annette,3J2WdrtJtcjY539g5r3UfP
1160,Iesha,Another Bad Creation,4PWaeUVCHIVbXlpXEuIcvR
1161,Playground,Another Bad Creation,MISSING
1169,Do You Mind?,Anthony Newley,1Dp1eYjIvZbUcVILKlWm08
1171,Pop Goes The Weasel,Anthony Newley,6XTUuuIqip9uuHQs5ugkOx
1172,What Kind Of Fool Am I,Anthony Newley,1FDLvw8CZeAPLF1oGl5nck
1176,Secreto,Anuel AA & Karol G,MISSING
1180,Whatever You Like,Anya Marina,MISSING
1182,Gangsta Bitch,Apache,MISSING
1189,Sweet And Lovely,April Stevens & Nino Tempo,MISSING
1190,Enough Is Enough,April Wine,MISSING
1191,I Like To Rock,April Wine,MISSING
1192,Just Between You And Me,April Wine,MISSING
1193,Roller,April Wine,MISSING
1194,Sign Of The Gypsy Queen,April Wine,MISSING
1195,This Could Be The Right One,April Wine,MISSING
1196,You Could Have Been A Lady,April Wine,00HHXyQsZ21t3E3VBGTAUF
1199,Reflektor,Arcade Fire,MISSING
1203,A World Without Music,Archie Bell & The Drells,6cEfNnApZLeaYFUjHgpl4P
1204,Dancing To Your Music,Archie Bell & The Drells,MISSING
1213,Wrap It Up,Archie Bell & The Drells,6ir6mS8vlECYYzU6MSQ3Ra
1226,Break It To Me Gently,Aretha Franklin,MISSING
1251,Mr. D.J. (5 For The D.J.),Aretha Franklin,MISSING
1275,Willing To Forgive,Aretha Franklin,MISSING
1292,Be Alright,Ariana Grande,MISSING
1296,Dangerous Woman,Ariana Grande,MISSING
1305,Into You,Ariana Grande,MISSING
1347,Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",MISSING
1356,Really Into You,Around The Way,7LOPEEKWrhLgvfCAtX8DYi
1360,People Everyday,Arrested Development,6JvodgYcsthsORxPsEYUoe
1370,Banjo Boy,Art Mooney And His Orchestra,MISSING
1373,Anna (Go To Him),Arthur Alexander,1p2Th3PESzyLj6KpAeIT5r
1374,Every Day I Have To Cry Some,Arthur Alexander,MISSING
1375,Where Have You Been (All My Life),Arthur Alexander,66KbTROEwuLMjHEFbEOW3e
1376,You Better Move On,Arthur Alexander,2yPNUR1tHOqrJ711XjRxBH
1382,"Shake, Rattle & Roll",Arthur Conley,3GIG7lx3I2xWUFzGhBWPc3
1386,Love For Sale,Arthur Lyman Group,MISSING
1387,Yellow Bird,Arthur Lyman Group,MISSING
1389,"It's Too Late, Baby Too Late",Arthur Prysock,1DHnBU07Qt0MmVXl1tx49h
1390,When Love Is New,Arthur Prysock,MISSING
1394,Forever Country,"Artists Of Then, Now & Forever",MISSING
1395,Just Stand Up!,Artists Stand Up To Cancer,MISSING
1405,G.R.I.N.D. (Get Ready It's A New Day),Asher Roth,MISSING
1413,Street Corner,Ashford & Simpson,70VIZdsankOPKXRqFWmFBB
1414,Boyfriend,Ashlee Simpson,MISSING
1416,L.O.V.E.,Ashlee Simpson,MISSING
1422,Let U Go,Ashley Parker Angel,MISSING
1423,Soundtrack To Your Life,Ashley Parker Angel,MISSING
1430,Resurrection Shuffle,"Ashton, Gardner & Dyke",MISSING
1433,Go,Asia,7vVnb8HK2J3eiPOYsd7cG3
1439,Angel (What In The World's Come Over Us),Atlanta Rhythm Section,55supa5rItJWpdXQR18U76
1442,Dog Days,Atlanta Rhythm Section,2tKtzj52gnrHFjpsnVUtOB
1443,Doraville,Atlanta Rhythm Section,7bzo4nqa4nDzwpnkDcigbt
1448,Jukin,Atlanta Rhythm Section,0hGaVRmUsau8bVH6aGr4tJ
1462,Sweet Summer Music,Attitudes,0xy2xsmHwOFteY68MUbqIr
1464,Indian Summer,Audience,MISSING
1473,¿Dònde Està Santa Claus? (Where Is Santa Claus?),Augie Rios,4THGgz0ahtFUVRVpMeJv3d
1484,Something's Wrong With Me,Austin Roberts,MISSING
1488,Ballad Of Two Brothers,Autry Inman,MISSING
1498,When It Hurts,Avant,MISSING
1536,I Think You'll Remember Tonight,Axe,MISSING
1547,Boogie Woogie,B. Bumble & The Stingers,6NuWpDL5pCbDaEWHQ8rtIy
1549,Nut Rocker,B. Bumble & The Stingers,19ao3UVdmkKM7axeHilc4c
1552,Beautician Blues,B.B. King,MISSING
1561,I Got Some Help I Don't Need,B.B. King,3jn7Pu2oE7Q61IjYBF7L06
1562,I Like To Live The Love,B.B. King,3tshHHkRIslLCXS1CYMkkO
1565,Never Trust A Woman,B.B. King,MISSING
1567,Philadelphia,B.B. King,MISSING
1573,The Jungle,B.B. King,MISSING
1585,This Beat Is Hot,B.G. The Prince Of Rap,2pWx1vjmAa3G40ur0vPPDR
1587,Bring Back The Time,B.J. Thomas,7JuR8ncjgStC7HtmJ1BtUX
1590,Everybody's Out Of Town,B.J. Thomas,MISSING
1591,Happier Than The Morning Sun,B.J. Thomas,MISSING
1594,I Can't Help It (If I'm Still In Love With You),B.J. Thomas,MISSING
1595,I Just Can't Help Believing,B.J. Thomas,4irCAgcUsSKAfWh0ATA0Yg
1596,It's Only Love,B.J. Thomas,MISSING
1597,Long Ago Tomorrow,B.J. Thomas,MISSING
1598,Mama,B.J. Thomas,43GwM2dqAFTegMvd7GQprH
1599,Mighty Clouds Of Joy,B.J. Thomas,MISSING
1600,Most Of All,B.J. Thomas,49vfBpxD5VZltFh0F0DMrl
1601,No Love At All,B.J. Thomas,4irMsDeF7VANW20oUsyBUM
1602,Pass The Apple Eve,B.J. Thomas,MISSING
1604,Rock And Roll Lullaby,B.J. Thomas,3aVNV6pawEERvfdurW66ZT
1605,Still The Lovin' Is Fun,B.J. Thomas,MISSING
1606,That's What Friends Are For,B.J. Thomas,MISSING
1607,The Eyes Of A New York Woman,B.J. Thomas,3RpQtTk76Yn4q0Ug0TDLRi
1608,Tomorrow Never Comes,B.J. Thomas,42F6HImCsBbaFUGSHzLtoF
1609,Whatever Happened To Old Fashioned Love,B.J. Thomas,MISSING
1623,I Am The Champion,B.o.B,MISSING
1640,"Bump, Bump, Bump",B2K & P. Diddy,74jMwg2zsFMICzW3Wems6h
1641,Badaboom,B2K Featuring Fabolous,MISSING
1647,DDU-DU DDU-DU,BLACKPINK,MISSING
1649,Kill This Love,BLACKPINK,MISSING
1661,Throat Baby (Go Baby),BRS Kash,31iqpzg1ZXLLgq0L5iIwLe
1662,Simply Being Loved (Somnambulist),BT,MISSING
1664,Black Swan,BTS,MISSING
1665,Blue & Grey,BTS,MISSING
1666,Butter,BTS,MISSING
1667,DNA,BTS,MISSING
1668,Dis-ease,BTS,MISSING
1669,Dynamite,BTS,MISSING
1670,Fake Love,BTS,MISSING
1671,Film Out,BTS,MISSING
1672,Filter,BTS,MISSING
1673,Fly To My Room,BTS,MISSING
1674,Life Goes On,BTS,MISSING
1676,ON,BTS,MISSING
1677,Permission To Dance,BTS,MISSING
1678,Stay,BTS,MISSING
1679,Telepathy,BTS,MISSING
1690,Rinky Dink,Baby Cortez,55s5CPpvt77AgLvdpfn93E
1698,There's Something On Your Mind,Baby Ray,MISSING
1699,Hooked On A Feeling (Ooga-Chaka),Baby Talk,MISSING
1700,Hey Lonely One,Baby Washington,MISSING
1703,Only Those In Love,Baby Washington,475yfAikvSAt5sQrDFkNGH
1705,The Clock,Baby Washington,MISSING
1736,Inconsolable,Backstreet Boys,MISSING
1749,De Museo,Bad Bunny,MISSING
1804,Hold On,Badfinger,MISSING
1805,Love Is Gonna Come At Last,Badfinger,699RFhWGga3oOq5lau7bTJ
1809,Along Comes Mary,Baja Marimba Band,MISSING
1810,Georgy Girl,Baja Marimba Band,MISSING
1811,Ghost Riders In The Sky,Baja Marimba Band,MISSING
1829,Do They Know It's Christmas? (2014),Band Aid 30,MISSING
1831,Do They Know It's Christmas?,Band-Aid,0247StOpd3AkeBQzANX4Zf
1832,One Way Love,Bandit,MISSING
1836,Chinese Kung Fu,Banzaii,MISSING
1837,Freakshow On The Dance Floor,Bar-Kays,0IDgCV38Y7wJbDreYFj8EZ
1847,Kid Stuff,Barbara Fairchild,4MsC36DEHTmkS9ZQuIgpjU
1848,Teddy Bear Song,Barbara Fairchild,2xFv4RK15LuufZJVMRu0MY
1849,I Know (You Don't Love Me No More),Barbara George,4IZBzpxPNFmKP7I6D3qVH6
1850,Send For Me (If you need some Lovin),Barbara George,7xs6gLM1L7UBmBefBawVXC
1872,(If Loving You Is Wrong) I Don't Want To Be Right,Barbara Mandrell,4xjApOMDk6hy4iQph5q9vC
1874,Woman To Woman,Barbara Mandrell,4skT294uKyPTfqpHcccjDF
1876,Bed And Board,Barbara Mason,MISSING
1878,Give Me Your Love,Barbara Mason,MISSING
1884,Shackin' Up,Barbara Mason,0Gq9SlG3TVYnr2X1lZBGNZ
1921,What Kind Of Fool,Barbra Streisand & Barry Gibb,MISSING
1940,I Wonder What She's Doing Tonight,Barry & The Tamerlanes,MISSING
1974,The Princess And The Punk,Barry Mann,MISSING
1975,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",Barry Mann,3rNTztxol0gEAjZNTnoK7r
1976,Child Of Our Times,Barry McGuire,2OzNYmuerhhV0FVX97UJrb
1979,Eloise,Barry Ryan,MISSING
1982,Come On,Barry White,7zycPgVeXRevKDrsYKB4jc
1983,"Honey Please, Can't Ya See",Barry White,3tky3v47OmGrk5NGazSuOC
1989,"Never, Never Gonna Give Ya Up",Barry White,4At54ImSBL41yWMaudry08
1995,One Has My Name (The Other Has My Heart),Barry Young,3Vd7lnnD4xihfGIgqNDo9B
1996,The Jackie,Bas With J. Cole & Lil TJay,MISSING
2020,(You Gotta) Fight For Your Right (To Party!),Beastie Boys,3yrFR09QupnoRk1NjhzGVW
2027,Dub Be Good To Me,Beats International,MISSING
2034,Meant To Be,Bebe Rexha & Florida Georgia Line,MISSING
2036,Devil's Haircut,Beck,0z8oPUM05RZBJ1A1dXPsSs
2039,Jack-Ass,Beck,5RTgWVqWwBXaINgsLy1M7G
2041,The New Pollution,Beck,2fwKJNRWxlRTncgO9ufC1h
2042,Where It's At,Beck,3Pdjem5pj41gilOgXqkNtL
2097,Monica,Before Dark,MISSING
2102,I Feel The Magic,Belinda Carlisle,1RTjFfuW17cx3mOGZUqQjZ
2105,Mad About You,Belinda Carlisle,05XkaRvGIt5LtllUuhMAKA
2110,Gangsta,Bell Biv DeVoe,7uUDqA3A7zyOh9IGQjKd5b
2115,TTYLXOX,Bella Thorne,6hIhb4S4aGPJfPQ3gM8AXu
2116,Watch Me,Bella Thorne & Zendaya,MISSING
2118,If I Said You Have A Beautiful Body Would You Hold It Against Me,Bellamy Brothers,MISSING
2121,Miss Broadway,Belle Epoque,5v7u5IysR7l8Wpz63Oyd0k
2127,Almost Persuaded No. 2,Ben Colder,7oFkEsKdJhj33vU38F01Ki
2134,Don't Play That Song (You Lied),Ben E. King,MISSING
2139,How Can I Forget,Ben E. King,3RPhq9j57iZHnMhteKj4el
2142,It's All Over,Ben E. King,0ERzRJRLPikYbM1PkLIr4w
2144,So Much Love,Ben E. King,0PCpJL0tXxgjE5kbOnj9R0
2154,Landed,Ben Folds,2mroGFLkDF6bALC1YC5iCD
2160,Alley Cat,Bent Fabric and His Piano,MISSING
2181,Now And Forever,Bert Kaempfert And His Orchestra,22GfsLvOibRnZFVpUqksuD
2188,Oh My Angel,Bertha Tillman,6WGFdJ3lRB7e0VDNEzpiAh
2214,Getting Mighty Crowded,Betty Everett,0MUli897soECfYgzY3le4i
2226,Nearer To You,Betty Harris,MISSING
2227,Hoopa Hoola,Betty Johnson,MISSING
2228,You Can't Get To Heaven On Roller Skates,Betty Johnson,MISSING
2229,Dance Everyone Dance,Betty Madigan,MISSING
2242,Don't Say You Don't Remember,Beverly Bremers,MISSING
2244,We're Free,Beverly Bremers,MISSING
2297,These Heaux,Bhad Bhabie,MISSING
2300,Summer Of '42,Biddu Orchestra,MISSING
2304,Look At You,Big & Rich,MISSING
2307,That's Why I Pray,Big & Rich,MISSING
2326,Get Together,Big Mountain,7Jivh0vTRGrCVOz55GDYJ4
2328,Touch My Light,Big Mountain,1C5sRWpIjF5ZH3c7qQGkSY
2329,Name And Number,Big Noise,MISSING
2341,Moves,Big Sean,0Fv5N0cHBsl4bzCbollCAS
2378,8 X 10,Bill Anderson,0uDh1Z8oIb2GywbhWExFic
2381,Still,Bill Anderson,0Q7eey8NSPQEQ3ol75UAAx
2384,Blue Tango,Bill Black's Combo,1JjwzvuCVpxNVNlP0YpJnn
2385,Comin' On,Bill Black's Combo,MISSING
2386,Do It - Rat Now,Bill Black's Combo,MISSING
2387,Don't Be Cruel,Bill Black's Combo,MISSING
2389,Honky Train,Bill Black's Combo,50U3wzVAAZyIwmpewpm2Wh
2390,Josephine,Bill Black's Combo,4bdSSSoJc2uYgQlb6kR1gx
2391,Little Queenie,Bill Black's Combo,MISSING
2393,Movin',Bill Black's Combo,7bSXBFSBBW8PPrLDi1p5gl
2394,Ole Buttermilk Sky,Bill Black's Combo,443rW0eSK5mTbkJnzkQ091
2395,Smokie - Part 2,Bill Black's Combo,MISSING
2396,So What,Bill Black's Combo,0MRn1CtRPiOMbSOF0mLFre
2397,Tequila,Bill Black's Combo,6OkE1wJHhHftxVDuOMIfhd
2398,Turn On Your Love Light,Bill Black's Combo,MISSING
2399,Twist-Her,Bill Black's Combo,78iVh8TV4WTvWj0NJFZ9QY
2416,(Let's Do) The Hully Gully Twist,Bill Doggett,MISSING
2417,Blip Blop,Bill Doggett,328wGzwVquTqX5m3t1czL0
2418,Hold It,Bill Doggett,5PdawJa5sJXcUKbdkaTYnQ
2420,Smokie-Part 2,Bill Doggett,MISSING
2421,Here's Your Sign (Get The Picture),Bill Engvall With Special Guest Travis Tritt,MISSING
2423,Lean Jean,Bill Haley And His Comets,MISSING
2427,Brown Eyed Woman,Bill Medley,3BkXscN4HrInxzjOpmAwhb
2429,I Can't Make It Alone,Bill Medley,MISSING
2430,Peace Brother Peace,Bill Medley,MISSING
2433,The All American Boy,Bill Parsons,MISSING
2436,Ain't No Sunshine,Bill Withers,MISSING
2452,Billie Bossa Nova,Billie Eilish,MISSING
2456,Getting Older,Billie Eilish,MISSING
2457,Halley's Comet,Billie Eilish,MISSING
2458,Happier Than Ever,Billie Eilish,MISSING
2459,I Didn't Change My Number,Billie Eilish,MISSING
2463,Lost Cause,Billie Eilish,MISSING
2466,NDA,Billie Eilish,MISSING
2469,Oxytocin,Billie Eilish,MISSING
2475,Your Power,Billie Eilish,MISSING
2477,Lovely,Billie Eilish & Khalid,MISSING
2487,"Bells, Bells, Bells (The Bell Song)",Billy & Lillie,MISSING
2492,Harmony,Billy Bland,MISSING
2494,My Heart's On Fire,Billy Bland,MISSING
2495,You Were Born To Be Loved,Billy Bland,MISSING
2506,Let Me Down Easy,Billy Currington,4a6jhlK3Iebetx2yzzeVFf
2507,Love Done Gone,Billy Currington,MISSING
2510,Pretty Good At Drinkin' Beer,Billy Currington,MISSING
2520,Bonaparte's Retreat,Billy Grammer,MISSING
2521,Gotta Travel On,Billy Grammer,MISSING
2522,The Kissing Tree,Billy Grammer,MISSING
2537,From A Window,Billy J. Kramer With The Dakotas,MISSING
2551,Under The Boardwalk,Billy Joe Royal,MISSING
2594,Happiness,Billy Lawrence,MISSING
2615,Fancy Lady,Billy Preston,6xyODOlRUVJq8tpBx7EBXr
2626,Will It Go Round In Circles,Billy Preston,5YLVhkyMsAuYKOKihHJo21
2629,With You I'm Born Again,Billy Preston & Syreeta,MISSING
2634,In The Heart Of A Woman,Billy Ray Cyrus,MISSING
2638,I Wanna Go Back,Billy Satellite,MISSING
2639,Satisfy Me,Billy Satellite,MISSING
2646,Love Is The Hero,Billy Squier,2yxPjDw5mZUKSbgeq5iRge
2653,Every Day I Have The Blues,Billy Stewart,3M9ecJ710c7RrwqDZhb7mZ
2656,Mountain Of Love,Billy Stewart,MISSING
2663,Goldfinger,Billy Strange,MISSING
2668,Children Of The Sun,Billy Thorpe,MISSING
2670,A Swingin' Safari,Billy Vaughn And His Orchestra,39tiEmJyiZnGoNo6u86pLl
2673,Blue Tomorrow,Billy Vaughn And His Orchestra,MISSING
2674,Chapel By The Sea,Billy Vaughn And His Orchestra,MISSING
2675,Cimarron (Roll On),Billy Vaughn And His Orchestra,MISSING
2676,Come September,Billy Vaughn And His Orchestra,0a07A6CBRC2tMGxIJFlx7U
2679,Look For A Star,Billy Vaughn And His Orchestra,5z1nDeHjopxz2i3EqmgvAu
2681,Michelle,Billy Vaughn And His Orchestra,MISSING
2682,Orange Blossom Special,Billy Vaughn And His Orchestra,MISSING
2683,The Sundowners,Billy Vaughn And His Orchestra,62RlQEJuKQCVNGx1au7qes
2684,Wheels,Billy Vaughn And His Orchestra,4AFiPm2lpASzrpHAFFyzhC
2685,Your Cheatin' Heart,Billy Vaughn And His Orchestra,MISSING
2686,With Pen In Hand,Billy Vera,MISSING
2690,Forever,Billy Walker,1T5SRm5reEOzwZHrQ6dYFR
2691,Goodnight Irene,Billy Williams,4NR64LgL6Iy8XycwSYMt6F
2693,Nola,Billy Williams,1a8bsYnvZdh1aQ5LHORTo1
2694,El Bimbo,Bimbo Jet,MISSING
2695,"Adeste Fideles (Oh, Come, All Ye Faithful)",Bing Crosby,MISSING
2696,I'll Be Home For Christmas,Bing Crosby,MISSING
2715,Earth Intruders,Bjork,MISSING
2722,Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul",MISSING
2726,Strong Enough To Be Gentle,Black Oak Arkansas,MISSING
2738,Love Me Tonight,Blackjack,MISSING
2739,Wonderful,Blackwell,MISSING
2753,Footloose,Blake Shelton,MISSING
2764,Minimum Wage,Blake Shelton,MISSING
2804,Atomic,Blondie,1hO5PM8f3DwiDRkM57cG1b
2806,Dreaming,Blondie,5WHY6S6FO0bdRNd8xYxyAG
2809,Maria,Blondie,MISSING
2812,The Hardest Part,Blondie,MISSING
2823,You've Made Me So Very Happy,"Blood, Sweat & Tears",MISSING
2825,D.O.A.,Bloodrock,1Lbd3fzKAnSA4Wmm3Sie9i
2833,Capture Your Heart,Blue,MISSING
2837,Smoke Gets In Your Eyes,Blue Haze,3kiHKOtFYoM3ULlPHNyp7T
2841,I Want To Be Your Property,Blue Mercedes,MISSING
2861,Gas Lamps And Clay,Blues Image,MISSING
2865,Pipe Dream,Blues Magoos,MISSING
2866,There's A Chance We Can Make It,Blues Magoos,MISSING
2875,Ooh Baby,Bo Diddley,0lp6c7BBYNlDVksKGQqy8X
2880,Our Last Song Together,Bo Donaldson And The Heywoods,MISSING
